"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"89",2005-07-15 15:30:00,2005-07-15,1.86,7.75,5.117,4.406,4.169,2.8,1.436,0.204,0.572,TRUE
"90",2005-07-16 08:15:00,2005-07-16,9.29,5,16.901,16.901,16.901,13.41,7.625,1.744,23.389,TRUE
"91",2005-07-16 20:00:00,2005-07-16,6.89,5,12.085,12.085,12.085,6.85,4.536,1.05,7.192,TRUE
"92",2005-07-17 13:45:00,2005-07-17,0.76,1.5,2.328,2.264,2.243,1.187,0.608,0.081,0.096,FALSE
"93",2005-07-18 05:00:00,2005-07-18,0.04,0.25,0.4,0.22,0.16,0.08,0.04,0.001,0,FALSE
"94",2005-07-19 15:15:00,2005-07-19,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"95",2005-07-21 15:30:00,2005-07-21,1.33,2.75,1.755,1.755,1.755,1.063,0.717,0.125,0.133,FALSE
"96",2005-07-22 23:15:00,2005-07-22,0.06,0.25,0.393,0.285,0.249,0.12,0.06,0.004,0,FALSE
"97",2005-07-24 23:30:00,2005-07-24,15.19,6,29.016,29.016,29.016,21.006,13.419,3.383,71.069,TRUE
"98",2005-07-25 18:30:00,2005-07-25,0.03,0.25,0.324,0.18,0.132,0.06,0.03,0.001,0,FALSE
"99",2005-07-27 16:45:00,2005-07-27,5.19,2.5,9.044,7.978,7.978,7.313,4.609,0.716,5.239,TRUE
"100",2005-08-05 22:15:00,2005-08-05,0.92,2.5,1.468,1.468,1.468,1.028,0.83,0.087,0.089,FALSE
"101",2005-08-07 05:00:00,2005-08-07,5.68,7.5,8.973,8.973,8.973,7.609,4.591,0.864,6.571,TRUE
"102",2005-08-08 03:45:00,2005-08-08,0.03,0.5,0.166,0.106,0.086,0.063,0.03,0.002,0,FALSE
"103",2005-08-08 14:15:00,2005-08-08,12.13,24.75,11.991,11.991,11.991,10.405,7.217,1.886,19.624,TRUE
"104",2005-08-11 13:30:00,2005-08-11,0.2,2.25,0.52,0.52,0.52,0.28,0.153,0.016,0.005,FALSE
"105",2005-08-13 13:15:00,2005-08-13,0.17,4.75,0.573,0.573,0.573,0.288,0.145,0.015,0.004,FALSE
"106",2005-08-14 07:15:00,2005-08-14,0.05,0,0.6,0.3,0.2,0.1,0.05,0,0,FALSE
"107",2005-08-14 23:15:00,2005-08-14,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"108",2005-08-15 20:30:00,2005-08-15,7.1,22,5.728,5.728,5.728,5.719,4.388,0.924,5.283,TRUE
"109",2005-08-17 20:15:00,2005-08-17,0.26,7.5,0.24,0.18,0.16,0.12,0.103,0.021,0.002,FALSE
"110",2005-08-19 03:30:00,2005-08-19,4.32,8,4.388,4.388,4.388,4.283,2.991,0.524,2.243,TRUE
"111",2005-08-21 12:30:00,2005-08-21,0.28,15,0.273,0.153,0.113,0.102,0.09,0.022,0.002,FALSE
"112",2005-08-22 15:30:00,2005-08-22,0.08,8.75,0.242,0.122,0.082,0.042,0.022,0.005,0,FALSE
"113",2005-08-24 13:15:00,2005-08-24,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"114",2005-08-24 20:00:00,2005-08-24,0.19,6,0.36,0.36,0.36,0.22,0.137,0.015,0.003,FALSE
"115",2005-08-25 20:15:00,2005-08-25,0.11,3.25,0.2,0.14,0.12,0.1,0.076,0.008,0.001,FALSE
"116",2005-08-27 01:15:00,2005-08-27,9.07,31,3.378,3.378,3.378,2.853,2.478,0.979,2.794,TRUE
"117",2005-08-28 20:15:00,2005-08-28,0.78,7,0.56,0.36,0.322,0.3,0.269,0.063,0.019,FALSE
"118",2005-08-29 20:15:00,2005-08-29,0.24,4.25,0.17,0.11,0.107,0.085,0.083,0.019,0.002,FALSE
"119",2005-08-30 20:30:00,2005-08-30,0.59,1.5,1.124,1.124,1.124,0.856,0.537,0.054,0.046,FALSE
"120",2005-08-31 20:30:00,2005-08-31,0.4,5.75,0.31,0.19,0.15,0.122,0.1,0.032,0.004,FALSE
"121",2005-09-01 12:00:00,2005-09-01,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"122",2005-09-01 19:30:00,2005-09-01,1.14,8.5,0.258,0.204,0.204,0.2,0.191,0.094,0.019,FALSE
"123",2005-09-02 20:00:00,2005-09-02,0.18,2.75,0.18,0.12,0.112,0.092,0.081,0.014,0.001,FALSE
"124",2005-09-03 19:30:00,2005-09-03,0.8,6.5,0.367,0.255,0.217,0.202,0.189,0.066,0.013,FALSE
"125",2005-09-04 19:45:00,2005-09-04,0.24,3.75,0.225,0.15,0.126,0.103,0.082,0.019,0.002,FALSE
"126",2005-09-05 20:45:00,2005-09-05,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"127",2005-09-06 20:00:00,2005-09-06,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"128",2005-09-07 20:00:00,2005-09-07,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"129",2005-09-08 19:45:00,2005-09-08,0.43,5.5,0.338,0.218,0.178,0.149,0.106,0.034,0.005,FALSE
"130",2005-09-09 19:30:00,2005-09-09,0.63,6,0.2,0.16,0.16,0.14,0.131,0.052,0.007,FALSE
"131",2005-09-10 19:30:00,2005-09-10,0.22,3.25,0.306,0.207,0.173,0.142,0.114,0.017,0.002,FALSE
"132",2005-09-11 19:30:00,2005-09-11,0.17,2.5,0.193,0.133,0.131,0.122,0.093,0.013,0.002,FALSE
