"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"105",2005-08-05 18:00:00,2005-08-05,15.41,10,27.491,27.491,27.491,22.157,14.228,3.506,77.691,TRUE
"108",2005-08-08 14:00:00,2005-08-08,6.73,24.25,2.72,2.72,2.72,2.41,1.482,0.66,1.59,TRUE
"113",2005-08-15 14:15:00,2005-08-15,7.39,23,9.237,9.237,9.237,8.867,5.511,1.129,10.012,TRUE
"115",2005-08-17 20:00:00,2005-08-17,3.43,9,3.9,3.9,3.9,3.325,2.413,0.392,1.304,FALSE
"117",2005-08-19 03:15:00,2005-08-19,4.81,9,5.359,5.359,5.359,4.097,2.715,0.56,2.296,TRUE
"120",2005-08-21 19:45:00,2005-08-21,2.3,6.75,2.367,2.367,2.367,1.81,1.515,0.227,0.411,FALSE
"124",2005-08-26 23:00:00,2005-08-26,2.85,12.75,2.778,2.778,2.778,2.315,1.932,0.299,0.692,TRUE
"125",2005-08-27 17:45:00,2005-08-27,16.21,13.5,17.3,17.3,17.3,11.308,9.625,2.873,32.488,TRUE
"148",2005-09-26 14:00:00,2005-09-26,2.74,12.5,1.824,1.824,1.824,1.414,1.231,0.263,0.372,TRUE
"157",2005-10-07 03:00:00,2005-10-07,228.5,39.25,31.533,31.533,31.533,23.833,19.727,47.829,1139.924,TRUE
"169",2005-10-20 13:30:00,2005-10-20,7,22,2.416,2.416,2.416,2.269,1.426,0.665,1.51,TRUE
"170",2005-10-21 20:45:00,2005-10-21,18.67,11,13.213,13.213,13.213,10.898,9.208,3.149,34.317,TRUE
"171",2005-10-22 16:45:00,2005-10-22,3.46,3,3.933,3.933,3.933,3.147,1.984,0.395,1.242,TRUE
"172",2005-10-23 18:15:00,2005-10-23,8.93,10.75,3.739,3.739,3.739,3.315,2.712,0.928,3.075,FALSE
"173",2005-10-24 17:15:00,2005-10-24,28.75,31,8.37,8.37,8.37,7.831,4.866,3.673,28.764,TRUE
"174",2005-10-26 18:30:00,2005-10-26,4.1,11.5,1.12,1.12,1.12,1.067,1.027,0.38,0.405,TRUE
"246",2006-04-01 00:15:00,2006-04-01,2.79,12.5,3.663,3.663,3.663,2.961,1.678,0.287,0.85,FALSE
"248",2006-04-03 18:30:00,2006-04-03,21.53,3,42.438,41.421,41.082,28.953,17.295,4.838,140.091,TRUE
"249",2006-04-07 20:45:00,2006-04-07,20.05,17.75,3.527,3.527,3.527,3.334,2.654,2.234,7.448,TRUE
"258",2006-04-21 11:30:00,2006-04-21,65.07,35.75,48.379,48.379,48.379,36.572,25.21,13.098,479.028,TRUE
"259",2006-04-23 11:15:00,2006-04-23,2.62,0.75,11.379,7.903,6.744,4.119,2.62,0.263,1.081,TRUE
"260",2006-04-23 19:30:00,2006-04-23,2.12,1.75,4.929,3.811,3.439,1.847,1.29,0.203,0.376,TRUE
"275",2006-05-11 10:00:00,2006-05-11,44.6,13.25,66.591,66.591,66.591,49.043,29.169,10.436,511.804,TRUE
"276",2006-05-12 20:15:00,2006-05-12,3.73,9.75,2.087,2.087,2.087,1.899,1.301,0.355,0.674,TRUE
"278",2006-05-14 19:45:00,2006-05-14,2.83,10.75,2.951,2.951,2.951,2.07,1.248,0.28,0.58,TRUE
"279",2006-05-15 12:30:00,2006-05-15,17.73,12.5,33.065,29.948,28.908,18.731,9.502,4.003,74.977,TRUE
"283",2006-05-19 04:15:00,2006-05-19,1.2,7.75,1.958,1.958,1.958,1.743,1.037,0.122,0.213,FALSE
"296",2006-06-01 18:45:00,2006-06-01,3.41,1,14.303,12.056,11.307,6.389,3.409,0.536,3.423,FALSE
"297",2006-06-02 19:45:00,2006-06-02,17.86,13.5,12.48,12.48,12.48,8.758,5.231,2.861,25.059,TRUE
"301",2006-06-12 03:45:00,2006-06-12,5.11,5.5,2.907,2.907,2.907,2.837,2.502,0.547,1.552,TRUE
"302",2006-06-14 19:00:00,2006-06-14,1.1,0.75,3.596,3.028,2.839,2.129,1.1,0.112,0.239,FALSE
"303",2006-06-19 14:45:00,2006-06-19,13.23,16.25,27.334,26.433,26.133,17.26,10.866,2.759,47.619,TRUE
"305",2006-06-22 23:30:00,2006-06-22,5.17,3,6.306,6.306,6.306,4.327,2.801,0.663,2.869,TRUE
"307",2006-06-24 16:00:00,2006-06-24,6.04,4.75,7.265,7.265,7.265,6.421,4.467,0.832,5.344,TRUE
"308",2006-06-25 07:45:00,2006-06-25,118.89,38.5,57.417,57.417,57.417,50.015,37.246,26.328,1316.762,TRUE
"309",2006-06-27 06:00:00,2006-06-27,19.37,21.75,8.272,6.521,6.354,5.121,3.929,2.378,12.177,TRUE
"310",2006-06-28 22:30:00,2006-06-28,3.13,3.75,6.414,5.862,5.862,3.17,1.824,0.349,1.106,TRUE
"315",2006-07-04 21:30:00,2006-07-04,2.92,6.5,6.35,6.35,6.35,4.492,2.66,0.398,1.787,TRUE
"316",2006-07-05 11:15:00,2006-07-05,30.21,17.25,35.481,35.481,35.481,26.454,20.135,6.162,163.021,TRUE
"322",2006-07-22 16:00:00,2006-07-22,19.42,4,38.515,38.515,38.515,37.078,18.579,5.19,192.421,TRUE
"325",2006-07-28 21:15:00,2006-07-28,23.35,0.25,150.72,107.7,93.36,46.7,23.35,4.67,218.098,FALSE
"330",2006-08-07 04:00:00,2006-08-07,1.17,1,4.921,3.247,2.689,1.389,1.169,0.09,0.125,FALSE
"331",2006-08-07 17:15:00,2006-08-07,6.17,7.25,12.823,12.823,12.823,9.684,5.29,1.056,10.223,TRUE
"332",2006-08-08 16:15:00,2006-08-08,10.01,5,76.218,44.609,34.073,19.821,9.915,0.928,18.403,FALSE
"350",2006-08-31 19:30:00,2006-08-31,41.45,37.5,4.44,4.44,4.44,4.398,3.974,4.716,20.741,TRUE
"353",2006-09-04 16:15:00,2006-09-04,22.85,23,8.664,8.664,8.664,7.332,5.247,3.205,23.497,TRUE
"358",2006-09-09 19:30:00,2006-09-09,2.5,9.25,4.033,4.033,4.033,2.403,1.368,0.267,0.643,FALSE
"359",2006-09-10 15:15:00,2006-09-10,4.9,16.25,3.06,3.06,3.06,1.927,1.281,0.486,0.936,FALSE
"362",2006-09-14 01:00:00,2006-09-14,23.92,26,11.2,11.2,11.2,9.611,6.459,3.267,31.397,TRUE
"363",2006-09-15 13:00:00,2006-09-15,5.61,11,5.307,5.307,5.307,3.96,2.88,0.63,2.496,TRUE
"371",2006-09-24 13:45:00,2006-09-24,4,7.75,6.325,6.325,6.325,5.364,3.464,0.535,2.869,TRUE
"373",2006-09-26 18:15:00,2006-09-26,7.51,9.75,24.316,21.212,20.177,12.128,6.114,1.354,16.427,FALSE
"375",2006-09-28 16:30:00,2006-09-28,17.87,5.75,18.035,18.035,18.035,12.006,8.29,2.929,35.159,TRUE
"382",2006-10-05 18:30:00,2006-10-05,41.17,58,9.132,9.132,9.132,6.695,3.689,4.665,31.232,TRUE
"390",2006-10-16 22:15:00,2006-10-16,28.93,18.5,8.878,8.878,8.878,8.096,6.651,4.141,33.523,TRUE
"392",2006-10-19 19:45:00,2006-10-19,11.14,14.75,9.491,9.491,9.491,8.449,4.896,1.516,12.811,TRUE
"398",2006-10-26 18:00:00,2006-10-26,7.45,10.5,1.74,1.74,1.74,1.671,1.664,0.729,1.219,FALSE
"399",2006-10-27 12:45:00,2006-10-27,46.42,17.5,15.561,15.561,15.561,14.855,10.459,7.159,106.347,TRUE
"475",2007-04-01 15:30:00,2007-04-01,1.74,10,3.515,3.515,3.515,1.989,1.226,0.19,0.378,FALSE
"476",2007-04-03 20:00:00,2007-04-03,5.04,12.75,4.699,4.699,4.699,3.095,2.405,0.556,1.72,TRUE
"481",2007-04-11 12:45:00,2007-04-11,13.23,16.75,5.727,5.727,5.727,5.373,3.835,1.628,8.746,TRUE
"482",2007-04-12 15:15:00,2007-04-12,1.59,1.5,4.952,4.175,3.916,2.438,1.266,0.168,0.409,TRUE
"483",2007-04-14 16:00:00,2007-04-14,60.21,34.75,9.949,9.949,9.949,8.637,8.101,8.694,75.088,TRUE
"494",2007-04-26 22:00:00,2007-04-26,4.18,10.25,2.893,2.893,2.893,2.491,1.7,0.428,1.067,TRUE
"505",2007-05-10 20:00:00,2007-05-10,1.48,8.25,2.285,2.285,2.285,1.731,1.082,0.149,0.258,FALSE
"507",2007-05-12 18:30:00,2007-05-12,3.18,8.25,5.232,5.232,5.232,2.83,1.479,0.375,1.062,TRUE
"510",2007-05-16 15:00:00,2007-05-16,8.58,3.5,22.926,22.926,22.926,14.049,8.457,1.875,26.344,TRUE
"513",2007-05-20 06:00:00,2007-05-20,1.1,1.25,2.476,2.476,2.476,1.847,1.032,0.119,0.219,FALSE
"519",2007-05-27 18:15:00,2007-05-27,1.2,2.75,3.923,3.826,3.794,2.015,1.186,0.148,0.299,FALSE
"525",2007-06-03 07:30:00,2007-06-03,16.51,23,11.633,11.633,11.633,8.381,5.836,2.207,18.5,TRUE
"526",2007-06-04 16:00:00,2007-06-04,2.37,5.5,2.969,2.969,2.969,2.088,1.834,0.258,0.538,FALSE
"535",2007-06-13 13:30:00,2007-06-13,3.9,5.25,5.203,5.203,5.203,3.957,3.182,0.488,1.932,TRUE
"539",2007-06-21 16:15:00,2007-06-21,3.94,3.25,10.992,10.992,10.992,6.48,3.581,0.678,4.395,FALSE
"541",2007-06-25 00:15:00,2007-06-25,7.34,5,19.983,19.983,19.983,13.097,7.089,1.567,20.525,TRUE
"542",2007-06-26 12:30:00,2007-06-26,1.51,1.5,3.389,3.389,3.389,2.487,1.424,0.175,0.435,TRUE
"544",2007-06-28 20:30:00,2007-06-28,10.3,17.25,5.521,5.521,5.521,5.492,4.118,1.309,7.189,TRUE
"546",2007-07-03 21:00:00,2007-07-03,3.78,2.5,6.109,6.109,6.109,5.989,3.491,0.552,3.307,TRUE
"547",2007-07-04 13:15:00,2007-07-04,24.65,11.75,30.148,30.148,30.148,22.876,15.948,5.784,132.31,TRUE
"551",2007-07-13 22:30:00,2007-07-13,7.76,2,12.219,12.219,12.219,10.349,6.812,1.403,14.516,TRUE
"562",2007-07-28 23:30:00,2007-07-28,2.59,12.75,1.659,1.659,1.659,1.624,1.269,0.246,0.4,TRUE
"569",2007-08-05 18:00:00,2007-08-05,6.51,11,8.603,8.603,8.603,7.661,5.033,0.96,7.351,FALSE
"572",2007-08-09 00:45:00,2007-08-09,8.41,24.25,10.309,10.309,10.309,8.058,6.13,1.271,10.238,FALSE
"581",2007-08-16 08:30:00,2007-08-16,3.01,3.25,4.356,4.356,4.356,3.281,2.597,0.35,1.149,TRUE
"583",2007-08-18 14:15:00,2007-08-18,4.76,36.25,2.2,2.2,2.2,2.099,1.556,0.468,0.982,TRUE
"584",2007-08-20 17:00:00,2007-08-20,35.02,15.5,18.332,18.332,18.332,14.159,11.728,6.39,90.478,TRUE
"585",2007-08-21 22:00:00,2007-08-21,1.56,4.75,4.229,4.229,4.229,2.549,1.38,0.191,0.488,TRUE
"597",2007-09-03 20:15:00,2007-09-03,2.93,9.25,4.513,4.513,4.513,3.445,2.403,0.355,1.224,FALSE
"602",2007-09-10 19:30:00,2007-09-10,6.21,19,2.049,2.049,2.049,1.549,1.202,0.588,0.91,TRUE
"606",2007-09-14 13:45:00,2007-09-14,3.46,15.75,1.529,1.529,1.529,1.261,1.002,0.311,0.392,TRUE
"616",2007-09-27 20:00:00,2007-09-27,5.69,13.25,20.732,12.026,9.124,4.665,2.394,0.478,2.228,TRUE
"626",2007-10-07 14:00:00,2007-10-07,7.47,15.25,1.767,1.767,1.767,1.71,1.51,0.717,1.226,FALSE
"628",2007-10-09 19:00:00,2007-10-09,1.61,9,2.903,2.903,2.903,2.35,1.26,0.167,0.393,TRUE
"629",2007-10-10 19:00:00,2007-10-10,7.72,5.5,11.923,11.923,11.923,10.792,7.058,1.369,14.778,TRUE
"631",2007-10-11 22:00:00,2007-10-11,3.84,3.5,4.001,3.166,2.888,2.886,1.914,0.403,1.163,FALSE
"639",2007-10-19 06:45:00,2007-10-19,3.18,15,3.902,3.902,3.902,2.098,1.566,0.347,0.729,TRUE
"643",2007-10-23 22:00:00,2007-10-23,32.91,44.25,8.324,8.324,8.324,7.245,6.367,4.376,31.703,TRUE
"644",2007-10-26 06:45:00,2007-10-26,90.44,26.25,20.102,20.102,20.102,15.437,14.16,15.723,242.718,TRUE
"646",2007-10-28 17:00:00,2007-10-28,6.12,13,1.227,1.227,1.227,1.207,1.192,0.568,0.685,FALSE
"740",2008-04-03 14:45:00,2008-04-03,17.43,11.25,7.218,7.218,7.218,5.596,4.134,2.097,11.733,TRUE
"742",2008-04-04 15:00:00,2008-04-04,1.14,1,2.719,2.275,2.127,1.484,1.138,0.108,0.16,TRUE
"743",2008-04-04 22:15:00,2008-04-04,1.34,2,1.777,1.297,1.237,1.237,1.095,0.121,0.15,TRUE
"744",2008-04-05 20:15:00,2008-04-05,5.64,15.5,2.729,2.729,2.729,2.355,1.914,0.567,1.335,TRUE
"749",2008-04-11 19:45:00,2008-04-11,4.72,6.5,6.342,6.342,6.342,6.078,4.206,0.677,4.116,TRUE
"757",2008-04-20 15:45:00,2008-04-20,11.65,2.75,12.051,12.051,12.051,11.527,7.261,2.085,24.032,TRUE
"758",2008-04-21 04:30:00,2008-04-21,13.84,3,10.128,10.128,10.128,8.531,6.795,2.322,19.807,TRUE
"763",2008-04-26 20:15:00,2008-04-26,11.77,7.5,7.111,7.111,7.111,6.066,5.371,1.517,9.205,TRUE
"764",2008-04-27 23:15:00,2008-04-27,29.7,17,14.613,14.613,14.613,11.941,9.007,4.603,54.96,TRUE
"774",2008-05-08 11:15:00,2008-05-08,31.89,26.5,11.185,11.185,11.185,8.08,7.45,4.643,37.515,TRUE
"775",2008-05-10 04:00:00,2008-05-10,5.9,7,2.866,2.866,2.866,2.165,1.981,0.613,1.328,TRUE
"777",2008-05-11 15:15:00,2008-05-11,71.59,29,11.279,11.279,11.279,8.534,7.966,10.355,88.366,TRUE
"780",2008-05-15 20:15:00,2008-05-15,16,12.25,11.075,11.075,11.075,9.163,5.361,2.189,20.056,TRUE
"783",2008-05-18 08:30:00,2008-05-18,3.14,13.25,5.783,5.783,5.783,3.11,1.643,0.378,1.176,TRUE
"784",2008-05-20 00:15:00,2008-05-20,14.52,13,7.734,7.734,7.734,7.457,6.75,2.117,15.789,TRUE
"789",2008-05-27 20:45:00,2008-05-27,2.5,9.5,3.933,3.527,3.392,2.57,1.546,0.267,0.686,TRUE
"793",2008-05-31 10:30:00,2008-05-31,8.74,5,7.341,7.341,7.341,5.999,4.789,1.228,7.366,TRUE
"796",2008-06-03 19:15:00,2008-06-03,12.14,8.75,21.985,21.985,21.985,15.209,10.241,2.37,36.042,TRUE
"797",2008-06-04 14:30:00,2008-06-04,18.19,6.75,21.676,21.556,21.516,21.482,11.475,3.828,82.237,TRUE
"801",2008-06-07 19:30:00,2008-06-07,8.35,12.75,6.26,6.26,6.26,5.09,3.632,1.021,5.198,FALSE
"803",2008-06-10 01:45:00,2008-06-10,6.93,20.75,10.622,10.622,10.622,10.015,6.1,1.184,11.856,TRUE
"805",2008-06-14 16:00:00,2008-06-14,6.89,4.75,22.575,22.317,22.23,12.392,6.619,1.542,19.112,TRUE
"807",2008-06-16 14:45:00,2008-06-16,6.86,9.25,4.055,4.055,4.055,3.678,2.81,0.832,3.062,TRUE
"812",2008-06-27 16:15:00,2008-06-27,10.55,0.75,26.143,26.143,26.143,20.904,10.55,2.497,52.195,TRUE
"815",2008-06-28 20:00:00,2008-06-28,9.52,0.5,36.127,35.027,34.66,19.04,9.52,2.454,46.731,FALSE
"817",2008-06-29 14:30:00,2008-06-29,9.25,0.5,19.69,19.055,18.844,18.495,9.25,2.209,40.853,FALSE
"825",2008-07-09 06:45:00,2008-07-09,18.16,18.25,34.337,34.337,34.337,32.235,17.014,4.613,148.706,TRUE
"828",2008-07-13 16:45:00,2008-07-13,30.08,13.5,40.369,40.369,40.369,29.45,15.774,5.964,175.641,TRUE
"831",2008-07-19 02:45:00,2008-07-19,10.26,0.25,89.092,53.046,41.031,20.52,10.26,1.005,20.617,FALSE
"835",2008-07-23 13:00:00,2008-07-23,48.02,12.25,87.472,87.472,87.472,54.78,30.793,11.672,639.37,TRUE
"836",2008-07-27 11:15:00,2008-07-27,7.09,4.25,10.059,10.059,10.059,6.737,5.075,1.086,7.313,TRUE
"839",2008-08-02 03:00:00,2008-08-02,17.18,5.5,50.119,30.181,30.181,20.619,13.392,3.016,62.188,TRUE
"840",2008-08-02 15:45:00,2008-08-02,4.51,8.5,1.793,1.793,1.793,1.773,1.764,0.486,0.862,TRUE
"843",2008-08-07 15:45:00,2008-08-07,4.26,3.5,8.011,8.011,8.011,4.325,3.318,0.613,2.653,TRUE
"849",2008-08-27 18:00:00,2008-08-27,4.42,25,5.984,5.984,5.984,4.237,2.696,0.518,2.196,TRUE
"850",2008-08-29 03:45:00,2008-08-29,22.26,12.25,33.205,33.205,33.205,25.05,13.473,4.628,115.924,TRUE
"851",2008-08-30 18:30:00,2008-08-30,3.39,14.5,10.009,8.146,7.525,3.769,1.89,0.385,1.452,FALSE
"854",2008-09-05 19:00:00,2008-09-05,38.15,20.5,15.653,15.653,15.653,15.18,11.086,6.442,97.798,TRUE
"856",2008-09-09 09:00:00,2008-09-09,1.85,4.5,3.555,3.555,3.555,2.013,1.287,0.205,0.412,FALSE
"857",2008-09-09 20:15:00,2008-09-09,1.88,2.25,4.394,4.394,4.394,2.7,1.518,0.226,0.611,FALSE
"859",2008-09-12 12:15:00,2008-09-12,36.08,9.5,37.227,37.227,37.227,28.268,19.288,7.161,202.423,TRUE
"862",2008-09-25 14:15:00,2008-09-25,8.34,7.75,7.423,7.423,7.423,6.32,4.674,1.079,6.821,TRUE
"864",2008-09-26 20:00:00,2008-09-26,107.65,25,70.037,70.037,70.037,51.053,37.064,25.833,1318.837,TRUE
"868",2008-09-30 18:15:00,2008-09-30,6.05,2.25,17.272,17.272,17.272,9.913,5.286,1.133,11.234,TRUE
"880",2008-10-24 23:00:00,2008-10-24,31.83,19.5,34.066,34.066,34.066,33.431,21.37,6.691,223.674,TRUE
"881",2008-10-27 12:00:00,2008-10-27,11.93,21.25,2.411,2.411,2.411,2.267,2.059,1.171,2.655,TRUE
"943",2009-04-02 23:30:00,2009-04-02,37.21,15.5,27.119,27.119,27.119,15.231,12.621,6.998,106.584,TRUE
"946",2009-04-11 02:15:00,2009-04-11,15.86,11,3.409,3.409,3.409,3.273,2.659,1.778,5.821,TRUE
"947",2009-04-13 17:45:00,2009-04-13,5.39,13.75,2.693,2.693,2.693,2.627,1.606,0.547,1.436,TRUE
"949",2009-04-15 02:45:00,2009-04-15,26.21,18.5,10.145,10.145,10.145,8.817,7.009,3.447,30.391,TRUE
"950",2009-04-19 17:00:00,2009-04-19,41.62,32.75,17.829,17.829,17.829,16.671,8.816,6.904,115.101,TRUE
"951",2009-04-21 16:45:00,2009-04-21,4.05,24,3.554,3.554,3.554,1.872,1.412,0.426,0.798,TRUE
"954",2009-04-29 04:30:00,2009-04-29,3.65,4,3.843,3.843,3.843,3.817,2.778,0.434,1.657,FALSE
"957",2009-05-02 23:15:00,2009-05-02,44.56,39.75,7.424,7.424,7.424,6.349,5.965,5.634,35.767,TRUE
"958",2009-05-05 16:00:00,2009-05-05,6.33,5.75,5.399,5.399,5.399,4.642,4.583,0.864,4.011,TRUE
"959",2009-05-06 17:30:00,2009-05-06,16.9,9.25,9.65,9.65,9.65,7.205,4.218,2.463,17.747,TRUE
"965",2009-05-14 19:30:00,2009-05-14,1.28,5.5,1.447,1.447,1.447,1.406,1.053,0.124,0.175,TRUE
"967",2009-05-16 17:00:00,2009-05-16,4.85,14.75,2.157,2.157,2.157,2.01,1.503,0.473,0.951,TRUE
"969",2009-05-25 13:30:00,2009-05-25,49.84,20.75,39.815,39.815,39.815,32.724,24.747,10.114,330.964,TRUE
"971",2009-05-28 13:45:00,2009-05-28,4.99,13.5,4.563,4.563,4.563,3.211,2.083,0.539,1.731,TRUE
"972",2009-05-29 13:30:00,2009-05-29,8.94,4.5,7.379,7.379,7.379,5.267,3.869,1.213,6.39,TRUE
"973",2009-05-31 04:15:00,2009-05-31,1.78,2.25,1.601,1.601,1.601,1.428,1.323,0.175,0.25,FALSE
"976",2009-06-03 01:15:00,2009-06-03,10.53,2.75,29.682,22.991,20.761,13.986,7.189,1.703,23.821,TRUE
"977",2009-06-03 20:15:00,2009-06-03,27.12,3.25,41.406,38.97,38.158,21.86,14.093,6.16,134.659,TRUE
"978",2009-06-04 11:45:00,2009-06-04,30.29,30.5,4.293,4.293,4.293,4.275,3.61,3.203,13.69,TRUE
"980",2009-06-09 16:00:00,2009-06-09,5.95,2.25,20.6,20.276,20.168,10.739,5.722,1.321,14.187,TRUE
"981",2009-06-10 18:45:00,2009-06-10,20.51,14.5,27.747,27.747,27.747,26.315,19.117,5.092,133.993,TRUE
"983",2009-06-13 21:30:00,2009-06-13,6.13,6,12.981,12.981,12.981,9.442,5.476,1.076,10.156,TRUE
"984",2009-06-17 10:15:00,2009-06-17,5.25,5.75,3.985,3.985,3.985,2.945,2.06,0.571,1.682,TRUE
"985",2009-06-17 22:30:00,2009-06-17,15.32,16.5,26.396,26.396,26.396,18.995,11.711,3.087,58.637,TRUE
"988",2009-06-30 19:30:00,2009-06-30,5.22,6.75,13.64,13.64,13.64,7.135,3.606,0.979,6.987,TRUE
"989",2009-07-01 17:15:00,2009-07-01,7.26,4,18.011,18.011,18.011,12.497,6.659,1.47,18.371,FALSE
"998",2009-07-22 13:45:00,2009-07-22,3.82,0.5,9.648,9.648,9.648,7.629,3.82,0.685,5.224,FALSE
"999",2009-07-23 07:15:00,2009-07-23,3.38,1.75,8.867,8.867,8.867,6.403,3.259,0.562,3.597,FALSE
"1000",2009-07-23 15:15:00,2009-07-23,8.07,8,12.153,12.153,12.153,9.463,6.483,1.312,12.42,TRUE
"1002",2009-07-25 18:15:00,2009-07-25,5.49,3.75,8.366,8.366,8.366,6.752,3.991,0.779,5.262,TRUE
"1006",2009-07-31 12:30:00,2009-07-31,10.48,2.75,15.295,15.295,15.295,11.175,8.008,1.863,20.82,TRUE
"1008",2009-08-02 00:00:00,2009-08-02,11.71,10,22.554,22.554,22.554,16.037,8.045,2.461,39.469,TRUE
"1013",2009-08-10 20:00:00,2009-08-10,15.67,0.5,143.205,82.591,62.386,31.325,15.67,1.401,43.891,TRUE
"1015",2009-08-12 20:30:00,2009-08-12,14.52,4.5,18.773,18.773,18.773,15.463,13.282,3.049,47.148,TRUE
"1018",2009-08-18 15:45:00,2009-08-18,10.38,8.5,8.965,8.864,8.83,7.888,5.273,1.628,12.838,TRUE
"1019",2009-08-21 13:15:00,2009-08-21,27.97,20,20.236,20.167,20.144,16.247,8.676,5.234,85.043,TRUE
"1020",2009-08-22 15:45:00,2009-08-22,7.61,6.5,4.469,4.469,4.469,4.049,3.492,0.879,3.56,TRUE
"1023",2009-08-27 20:15:00,2009-08-27,29.21,7,49.62,49.62,49.62,34.339,21.981,7.238,248.542,TRUE
"1025",2009-08-29 19:00:00,2009-08-29,12.46,6,30.375,25.04,23.261,20.019,12.257,2.642,52.895,TRUE
"1026",2009-09-07 17:45:00,2009-09-07,6.07,2,39.382,22.892,17.396,8.802,4.74,0.443,3.901,FALSE
"1029",2009-09-10 19:45:00,2009-09-10,58.62,27,13.843,13.843,13.843,12.221,10.663,9.37,114.51,TRUE
"1032",2009-09-16 19:00:00,2009-09-16,4.79,2.5,7.328,7.268,7.248,4.314,2.499,0.678,2.923,TRUE
"1039",2009-09-26 14:30:00,2009-09-26,32.85,13,11.161,11.161,11.161,8.497,7.721,4.589,38.993,TRUE
"1041",2009-09-28 14:30:00,2009-09-28,4.74,1,10.701,10.701,10.701,7.908,4.742,0.811,6.416,FALSE
"1048",2009-10-15 06:00:00,2009-10-15,20.68,13.25,7.661,7.661,7.661,7.218,6.349,2.739,19.767,TRUE
"1050",2009-10-16 23:15:00,2009-10-16,61.91,30.25,26.078,26.078,26.078,20.477,16.755,11.199,229.326,TRUE
"1052",2009-10-24 11:30:00,2009-10-24,14.44,5.25,12.029,12.029,12.029,9.143,6.678,2.387,21.829,TRUE
"1053",2009-10-27 00:45:00,2009-10-27,51.48,29.25,33.78,19.988,15.39,13.696,11.143,7.955,108.947,TRUE
"1054",2009-10-31 16:00:00,2009-10-31,9.25,20.5,2.79,2.79,2.79,2.169,1.608,0.925,2.007,TRUE
